Player,Age,Tm,G,GS,MP,PER,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Year
Jeremy Lamb\lambje01,27,IND,46,42,28.1,14,2.1,14.8,10.5,2.1,1.5,8.7,19.6,0.9,1.8,-1.1,0.8,216,479,0.451,53,158,0.335,92,110,0.836,24,176,96,55,22,50,104,577,2020
Romeo Langford\langfro01,20,BOS,32,2,11.6,5.4,4.4,7.4,4.5,1,2,10.8,11.8,-0.2,0.4,-4.7,-0.3,28,80,0.35,5,27,0.185,18,25,0.72,15,26,13,8,8,11,33,79,2020
Zach LaVine\lavinza01,24,CHI,60,60,34.8,19.4,2.1,13.8,21.7,2,1.3,13.3,31.7,1.8,2.2,3.2,-0.8,539,1199,0.45,184,484,0.38,268,334,0.802,41,248,254,88,28,206,131,1530,2020
Vic Law\lawvi01,24,ORL,8,0,7.8,3.7,3.4,16.2,6.7,1.6,0,8.8,15.8,-0.1,0.1,-7.1,-2.5,6,18,0.333,1,7,0.143,2,6,0.333,2,9,3,2,0,2,6,15,2020
Jake Layman\laymaja01,25,MIN,23,2,22,10.3,3.4,8.7,4.4,1.6,1.6,11.1,17.7,0,0.3,-2.7,-1,81,179,0.453,24,72,0.333,24,32,0.75,17,40,15,17,10,24,47,210,2020
T.J. Leaf\leaftj01,22,IND,28,1,7.9,12.9,11.5,23.5,5.7,2.2,1.6,7.9,20,-0.1,0.4,-2.5,0.1,36,86,0.419,5,18,0.278,7,16,0.438,23,48,9,10,4,8,22,84,2020
Jalen Lecque\lecquja01,19,PHO,5,0,6.4,2.7,0,7,8.6,0,0,15.5,17.1,0,0,-7.1,-2.9,4,10,0.4,0,4,0,2,2,1,0,2,2,0,0,2,3,10,2020
Courtney Lee\leeco01,34,DAL,24,9,14.4,10.8,2.2,7.5,4.7,2.5,1.5,11.4,11.9,0.3,0.3,-2.1,1.5,40,82,0.488,21,47,0.447,6,7,0.857,7,25,12,18,6,11,33,107,2020
Damion Lee\leeda03,27,GSW,49,36,29,12.7,2.4,16.3,14.4,1.7,0.4,10.6,19,0.9,0.8,-1.5,-0.8,213,511,0.417,85,239,0.356,110,126,0.873,32,207,133,50,6,67,116,621,2020
Alex Len\lenal01,26,TOT,55,12,17.6,17.7,11.1,25.2,7.9,1.1,4.3,13.1,18.1,1.5,1,-0.5,-0.3,177,319,0.555,16,59,0.271,68,105,0.648,100,221,50,23,48,55,127,438,2020
Alex Len\lenal01,26,ATL,40,9,18.6,17.5,9.8,23.6,8.7,1.3,3.7,11.7,18.6,1.1,0.6,-0.2,-0.2,142,260,0.546,14,56,0.25,51,81,0.63,69,161,42,20,33,39,93,349,2020
Alex Len\lenal01,26,SAC,15,3,15,18.2,15.1,30.8,5.2,0.6,6.4,18.7,16.5,0.4,0.3,-1.3,-0.3,35,59,0.593,2,3,0.667,17,24,0.708,31,60,8,3,15,16,34,89,2020
Kawhi Leonard\leonaka01,28,LAC,57,57,32.4,26.9,3.1,19.1,26.4,2.6,1.6,10.2,33,5.4,3.3,6.5,2.4,532,1133,0.47,123,325,0.378,356,402,0.886,54,348,280,103,33,149,113,1543,2020
Meyers Leonard\leoname01,27,MIA,51,49,20.3,10.6,3.4,24,7.6,0.7,1.4,13.7,12.2,0.9,1.2,-1.3,0.4,119,234,0.509,53,128,0.414,18,28,0.643,30,230,55,14,15,39,107,309,2020
Caris LeVert\leverca01,25,BRK,45,31,29.6,16.1,3.9,10.7,25,1.9,0.6,12.6,29.5,0.1,1.4,0.6,-0.9,311,732,0.425,80,220,0.364,140,197,0.711,49,140,199,53,10,118,81,842,2020
Damian Lillard\lillada01,29,POR,66,66,37.5,26.9,1.4,10.5,34.4,1.3,0.8,11,30.3,10.9,0.7,8.3,-0.9,624,1349,0.463,270,674,0.401,460,518,0.888,33,251,530,70,22,194,114,1978,2020
Nassir Little\littlna01,19,POR,48,5,11.9,9.6,5.7,13.9,5,1.1,2.1,8.1,13.7,0.3,0.3,-2.9,-0.6,65,151,0.43,14,59,0.237,28,44,0.636,31,77,22,13,14,15,72,172,2020
Kevon Looney\looneke01,23,GSW,20,4,13.1,9.4,11.2,16.3,11.1,2.2,2.1,12.5,15.7,-0.2,0.2,-4.8,-0.8,29,79,0.367,1,14,0.071,9,12,0.75,28,38,20,12,6,12,34,68,2020
Brook Lopez\lopezbr01,31,MIL,68,67,26.7,15,3.4,13,7.4,1.2,7.9,8.7,18.3,1.4,4.1,-0.4,2.5,292,671,0.435,102,325,0.314,127,152,0.836,58,254,99,46,163,70,163,813,2020
